Date,Sales_size,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
2016-08-07,6.2341601501425705,329672,278,0,0,18972,210919,0,0,2757,0
2016-08-08,7.390362195122535,311260,263,0,0,38606,210919,0,0,4301,0
2016-08-09,7.934437650795924,328703,273,0,0,18420,0,0,0,2095,0
2016-08-10,7.747635116345166,335607,278,0,0,21509,0,0,0,1654,0
2016-08-11,7.740268182503254,304800,253,0,0,20075,0,0,0,2978,0
2016-08-12,7.570172708616947,328864,278,0,676,18089,0,0,0,4853,210919
2016-08-13,7.647021254074768,317963,268,0,1352,13567,421839,0,0,1213,210919
2016-08-14,6.767399194733398,329833,278,0,0,15994,0,0,676,1544,0
2016-08-15,7.2432682733281215,298744,253,0,0,54159,0,0,0,4853,0
2016-08-16,7.656329861809491,319739,263,0,0,18310,0,0,0,1103,0
2016-08-17,7.8643867003768895,311987,258,0,0,20075,210919,0,0,2206,210919
2016-08-18,7.608726676143867,306173,253,0,2028,18531,0,0,676,1985,0
2016-08-19,7.688909988881021,329995,278,0,0,16655,0,0,0,2757,0
2016-08-20,7.665490713865885,311906,263,0,0,19082,0,0,0,2316,210919
2016-08-21,7.0284453587097495,329833,278,0,0,16545,632759,0,0,1544,0
2016-08-22,7.8285391049018624,311826,263,0,1352,60887,210919,0,0,8493,0
2016-08-23,8.238117845229665,330076,273,0,1352,23053,0,0,0,3860,0
2016-08-24,7.712181508217828,332579,273,0,2028,23053,0,0,0,2757,0
2016-08-25,7.656548032303274,308030,253,0,1352,22722,0,0,0,2206,0
2016-08-26,7.416631941667177,332216,278,0,0,17758,0,0,676,2536,0
2016-08-27,7.389514457419765,314854,263,0,0,17317,0,0,0,1985,210919
2016-08-28,7.145196942741474,329833,278,0,676,15442,210919,0,676,1103,210919
2016-08-29,7.437577580043506,311826,263,0,0,57137,0,0,0,8052,0
2016-08-30,7.41352947473107,330399,273,0,676,28899,0,0,676,7941,0
2016-08-31,7.266618590134466,332337,273,0,1352,22060,0,0,0,2536,0
2016-09-01,7.121708215714762,307626,253,0,2704,31988,0,0,676,2867,0
2016-09-02,7.1129282106197955,330722,278,0,676,25700,210919,0,0,7610,0
2016-09-03,7.015319213542068,321516,263,0,0,9265,210919,0,0,1433,0
2016-09-04,7.470157707115035,330076,278,0,0,10920,0,0,0,772,0
2016-09-05,7.536481537224935,299551,253,0,676,49857,0,0,0,5625,0
2016-09-06,7.263443914937582,336213,278,0,2028,14560,0,0,676,2757,0
2016-09-07,7.435424674094875,337263,273,0,1352,17758,0,0,1352,1875,0
2016-09-08,7.50427820970275,316630,258,0,2704,22722,0,0,2028,4301,0
2016-09-09,7.737454378217601,335002,278,0,676,22722,0,0,0,2206,0
2016-09-10,7.803675876680394,312472,263,0,676,13015,421839,0,0,1764,210919
2016-09-11,6.944384218206909,329833,278,0,0,18200,210919,149,676,1433,0
2016-09-12,7.154496260608862,314208,263,0,2028,58571,0,0,676,8162,0
2016-09-13,6.459229416388293,336294,278,0,8789,23494,0,0,1352,2757,0
2016-09-14,7.4227963865744835,319820,263,0,2028,20295,0,0,1352,1213,0
2016-09-15,7.879736447442838,305688,253,0,5409,17097,0,0,676,2426,0
2016-09-16,7.588077256622354,314087,263,0,4056,27465,0,0,0,4301,0
2016-09-17,7.3846680049864055,291476,248,0,0,14560,421839,0,676,1544,0
2016-09-18,6.990764408776812,330076,278,0,0,14008,0,0,676,1433,0
2016-09-19,7.24603448620129,313965,263,0,4732,87250,0,0,676,14118,210919
2016-09-20,7.593600456525654,343481,282,0,15551,15221,0,0,676,2757,0
2016-09-21,7.948447840879731,325069,268,0,6761,16214,421839,0,3380,2206,0
2016-09-22,7.9318641423680045,307344,253,0,7437,17538,0,0,2704,2757,0
2016-09-23,7.842683885284674,325594,273,0,0,20406,0,0,1352,3640,0
2016-09-24,7.377702083232841,317196,263,0,676,16545,210919,0,0,1764,0
2016-09-25,7.210577829799239,343723,287,0,0,13898,210919,0,0,882,0
2016-09-26,7.582151591224156,321274,268,0,1352,86037,210919,0,0,13567,210919
2016-09-27,7.134071771139111,342835,282,0,3380,15663,0,0,0,1433,0
2016-09-28,7.549747274917869,330883,273,0,5409,22171,0,0,2704,2095,0
2016-09-29,7.787318680394513,312391,258,0,6761,16655,0,0,676,1764,0
2016-09-30,7.73248186775397,328945,273,0,1352,15001,0,0,0,1985,0
2016-10-01,7.497184670826114,321879,263,0,1352,22722,210919,0,676,3198,0
2016-10-02,7.732856960286395,331691,278,0,1352,23935,421839,0,0,3198,210919
2016-10-03,7.457155167724164,314854,263,0,2028,70484,0,0,0,12574,0
2016-10-04,7.025810699070096,330722,273,0,4056,19965,0,0,8113,3640,0
2016-10-05,7.305012296883305,325957,268,0,4732,15994,0,0,1352,1875,0
2016-10-06,7.401641669330192,306900,253,0,5409,15111,0,0,2028,1985,0
2016-10-07,6.487841559611227,340372,278,0,4056,17869,0,0,676,5515,0
2016-10-08,7.134078706442769,310089,258,0,1352,12684,421839,0,0,1544,210919
2016-10-09,5.657265162247973,325473,273,0,0,13677,0,0,676,1764,0
2016-10-10,6.078118968087105,320991,268,0,2028,46438,0,0,0,5956,0
2016-10-11,5.78542327271961,331933,273,0,2704,16104,0,0,0,1103,0
2016-10-12,6.370297220925586,330479,268,0,10142,13567,210919,447,6761,992,0
2016-10-13,7.0846869266206,306334,253,0,5409,13788,0,0,2704,1323,0
2016-10-14,7.695986378112654,341583,282,0,4732,18862,210919,0,0,2757,0
2016-10-15,7.042853000994516,319659,268,0,2028,13788,421839,0,676,1544,0
2016-10-16,6.569989624781335,341219,287,0,676,17428,0,0,0,772,0
2016-10-17,6.277537440947355,342431,287,0,2704,58461,0,0,0,4963,0
2016-10-18,6.3590028216762775,357289,292,0,7437,20957,0,0,0,1875,0
2016-10-19,6.320162378385799,352242,287,0,3380,19303,0,0,4056,1213,0
2016-10-20,7.26036431743407,332014,273,149,5409,18420,0,0,1352,2095,0
2016-10-21,7.046339561886097,367383,302,0,2704,14670,0,0,676,2095,0
2016-10-22,6.389487948447019,339483,282,0,1352,15111,421839,0,2028,1433,210919
2016-10-23,6.485588238736338,353655,297,0,0,11692,210919,0,0,772,0
2016-10-24,6.320941091476094,336051,282,0,2028,240021,0,0,0,36951,210919
2016-10-25,5.796392122955068,354624,292,149,11494,16655,0,149,1352,3309,0
2016-10-26,6.906806739346433,352848,287,0,4732,15221,0,0,0,3529,0
2016-10-27,6.949115797221674,338958,278,0,10818,15442,0,0,2704,2757,0
2016-10-28,6.460778550208477,368070,302,0,7437,21729,0,0,676,2647,0
2016-10-29,6.554156796871453,334759,273,0,0,17538,210919,0,676,2757,0
2016-10-30,5.449867477136522,336778,273,0,0,32098,210919,0,0,3750,210919
2016-10-31,4.7217396708263,314894,253,0,0,402058,0,0,0,72138,0
2016-11-01,5.755041151292281,319537,258,0,7437,47430,0,0,676,6618,0
2016-11-02,5.735292868623518,329955,268,0,2704,17979,0,0,676,1764,0
2016-11-03,6.578356031357152,325634,263,0,4056,20406,0,0,0,3529,0
2016-11-04,7.259501272956203,333427,268,0,1352,14339,0,0,0,2867,0
2016-11-05,4.2273818538151025,301853,243,0,0,12574,421839,0,676,992,210919
2016-11-06,5.436869096979857,320829,258,0,0,25039,210919,0,676,1985,0
2016-11-07,6.111931140222366,298421,239,0,676,39268,0,0,676,4743,0
2016-11-08,5.3728431606071805,303831,243,0,4732,24046,0,0,676,3970,0
2016-11-09,4.687514980594806,310009,248,0,2704,17979,210919,0,1352,1213,0
2016-11-10,5.073979546024758,294181,239,0,4732,22612,0,0,1352,2536,0
2016-11-11,5.463500267777505,319820,258,0,1352,22943,0,0,676,2536,0
2016-11-12,4.951844423698512,285460,229,0,1352,16655,210919,0,0,1764,0
2016-11-13,4.9021148380822535,309080,248,0,0,17979,421839,0,0,1875,210919
2016-11-14,4.228414649884372,305002,243,0,676,49305,0,0,1352,6838,0
2016-11-15,5.490611297604504,310332,248,0,676,17317,0,0,3380,3309,0
2016-11-16,4.683825642680769,297492,239,0,4732,26362,0,0,676,2316,0
2016-11-17,6.061755858272156,307425,248,0,4056,14008,0,0,2028,1764,0
2016-11-18,6.392950195906377,305931,248,0,2704,20185,0,0,0,1764,0
2016-11-19,5.808604259141734,311906,248,0,1352,13457,210919,0,0,992,0
2016-11-20,6.136228718813316,310453,253,0,676,19523,210919,0,0,1985,210919
2016-11-21,4.76132587483901,310655,248,0,2028,53718,0,0,0,6838,0
2016-11-22,5.486655346845673,316550,253,0,5409,17648,0,0,0,772,0
2016-11-23,5.530975245806535,306294,243,0,10818,25369,0,0,676,2426,0
2016-11-24,6.9445207697671805,315500,253,0,8789,22391,0,0,2028,1654,0
2016-11-25,7.4269134841096704,308192,248,0,2028,26803,210919,0,1352,2206,0
2016-11-26,6.678354468486905,310251,248,0,2028,13677,843679,0,676,1985,210919
2016-11-27,6.196294117865094,316469,253,0,0,17428,0,0,0,1764,0
2016-11-28,5.384527027965709,311906,248,0,676,38827,0,0,0,6066,0
2016-11-29,5.73509537281638,317357,253,0,2028,17869,0,0,676,2757,0
2016-11-30,5.8355602514441625,307869,243,0,6761,16876,210919,0,2028,1875,210919
2016-12-01,6.701332112922869,317155,253,0,4732,24156,210919,0,676,1433,0
2016-12-02,6.383679898121739,312310,248,0,1352,18200,0,0,676,3860,0
2016-12-03,6.499473758509026,310332,248,0,0,17538,210919,0,0,1433,0
2016-12-04,6.509047395952372,313925,253,0,0,14339,210919,0,0,1433,0
2016-12-05,5.081884210292464,310493,248,0,3380,34856,210919,0,676,5846,0
2016-12-06,5.388444251720865,310735,248,0,1352,16104,0,0,0,1544,0
2016-12-07,5.58466692625826,306779,243,0,676,16766,0,0,676,1875,0
2016-12-08,5.887439679065191,317074,253,0,676,18200,0,0,1352,1213,0
2016-12-09,6.282512340274904,313198,248,0,4056,18310,0,0,1352,2867,0
2016-12-10,6.731910798645033,313683,248,0,676,13898,0,0,676,1433,0
2016-12-11,6.274979351857308,315379,253,0,0,22943,0,0,0,1654,0
2016-12-12,5.7778968584015375,304437,243,0,1352,46438,0,0,0,5735,0
2016-12-13,4.717220352864812,310897,248,0,1352,11581,0,0,0,772,0
2016-12-14,6.023969671622699,261557,209,0,4056,20185,0,0,1352,3309,0
2016-12-15,6.8128452465069556,294020,239,0,0,21729,0,0,676,2316,0
2016-12-16,6.858903484580046,303427,243,0,676,18751,0,0,1352,2867,0
2016-12-17,6.179083695394525,306698,243,0,1352,15994,0,0,676,1875,0
2016-12-18,6.006016619674379,309807,248,0,0,15883,0,0,0,1103,0
2016-12-19,5.993893002640847,273751,219,0,0,85044,0,0,0,12354,0
2016-12-20,5.454513293500438,284975,229,0,676,16655,0,0,0,2978,0
2016-12-21,5.370801753940225,263213,209,0,2028,20847,0,0,0,2426,0
2016-12-22,6.433778488275625,304275,243,0,676,18751,0,0,0,2647,0
2016-12-23,6.196236090388806,310735,248,0,676,26693,0,0,1352,2426,0
2016-12-24,5.917981894826772,315500,253,0,0,23163,0,0,676,2426,0
2016-12-25,5.498593215949756,315136,253,0,0,25480,0,0,0,1875,0
2016-12-26,5.425483120542785,310978,248,0,0,216637,0,0,0,34856,0
2016-12-27,6.767968786335493,316065,253,0,0,22832,0,0,0,4412,0
2016-12-28,7.529018196427526,298946,239,0,0,26142,0,0,0,2316,0
2016-12-29,7.6972945804067825,315177,253,0,676,28899,0,0,0,2536,0
2016-12-30,7.053406983927293,321556,258,0,0,19082,0,0,0,1985,0
2016-12-31,7.61815250058953,297492,234,0,0,18862,0,0,0,1103,0
2017-01-01,7.940070968478485,229862,185,0,0,28017,0,0,0,1213,0
2017-01-02,7.875317209427363,304437,243,0,676,275319,0,0,676,35297,0
2017-01-03,7.857405191513579,322606,258,0,676,25811,0,0,0,1985,0
2017-01-04,8.084840569091295,307021,243,0,676,27906,0,0,0,551,0
